공간정보일련번호,해수욕장명,경도,위도,공간정보
140,거진1리,128.465826,38.448422,POINT (1084278.9104434983 2050196.975852503)
141,공현1리,128.507976,38.359156,POINT (1088065.3060245565 2040331.0894935823)
142,공현2리,128.510752,38.35216,POINT (1088316.3456397292 2039557.445462709)
143,교암리,128.547128,38.290869,POINT (1091571.9275373148 2032791.8652323862)
144,대진1리,128.425878,38.503818,POINT (1080731.1290902535 2056308.1735824363)
145,대진5리,128.429596,38.496342,POINT (1081063.7027712215 2055481.8685162673)
146,마차진,128.41981,38.510895,POINT (1080194.1747633023 2057088.166453189)
147,명파,128.40612,38.543557,POINT (1078964.8755702043 2060700.668916182)
148,문암2리,128.549377,38.296737,POINT (1091761.2180542354 2033445.22028254)
149,반암리,128.462693,38.422757,POINT (1084035.2643925634 2047346.2253140416)
150,백도,128.546495,38.300754,POINT (1091504.1530556397 2033888.0979993453)
151,봉수대,128.526973,38.324339,POINT (1089768.0478959207 2036485.994789457)
152,봉포,128.566116,38.252799,POINT (1093281.1749673504 2028586.5295903625)
153,삼포,128.533413,38.316508,POINT (1090340.703683185 2035623.3258296342)
154,삼포2리,128.539957,38.311874,POINT (1090918.5800366937 2035115.544987203)
155,송지호,128.527656,38.332475,POINT (1089817.7075285644 2037389.4492688111)
156,송지호오토캠핑장,128.51564,38.342741,POINT (1088754.9498877926 2038516.9746082576)
157,아야진,128.553295,38.276431,POINT (1092129.4982607653 2031195.9243355624)
158,자작도,128.542754,38.308689,POINT (1091167.1027273205 2034764.8858115084)
160,청간,128.556513,38.268277,POINT (1092421.3125922251 2030294.3535350193)
161,초도리,128.430357,38.490684,POINT (1081136.4117147948 2054854.7004290554)
162,캔싱턴리조트,128.572554,38.24407,POINT (1093855.7174450348 2027624.4577404552)
163,화진포,128.438589,38.479045,POINT (1081867.5061258813 2053570.4709811227)
164,노봉,129.101316,37.587212,POINT (1141380.414404956 1955407.1956415891)
165,대진,129.109179,37.581951,POINT (1142084.689022542 1954835.3263424123)
166,망상,129.090128,37.593761,POINT (1140380.2534731263 1956117.056382394)
167,망상리조트,129.079785,37.601139,POINT (1139453.314416339 1956920.2706124238)
168,어달,129.118368,37.567905,POINT (1142922.951037672 1953290.7875132496)
169,추암,129.1595,37.47754,POINT (1146732.6295722527 1943327.6952448678)
170,궁촌,129.268094,37.324416,POINT (1156653.8119297244 1926512.6753534384)
171,덕산,129.242577,37.385552,POINT (1154267.594044529 1933253.9201192106)
172,맹방,129.234197,37.389286,POINT (1153518.0490708416 1933654.5502691718)
173,문암,129.288837,37.309404,POINT (1158523.344139698 1924881.6420989484)
174,부남,129.251412,37.362319,POINT (1155097.6535167967 1930690.6108529398)
175,삼척,129.168849,37.468772,POINT (1147576.571506216 1942369.4604526693)
176,상맹방(승공),129.210965,37.403696,POINT (1151432.291155546 1935215.834727905)
177,오분,129.191944,37.42654,POINT (1149703.180671481 1937720.0854989165)
178,용화,129.303379,37.290626,POINT (1159851.8945646684 1922822.6512185785)
179,원평,129.27227,37.31993,POINT (1157033.176168667 1926021.8718756672)
180,임원,129.3416,37.227054,POINT (1163377.426462913 1915834.4303413215)
181,작은후진,129.175326,37.464532,POINT (1148157.746426347 1941909.185521444)
182,장호,129.314247,37.285914,POINT (1160825.3551355884 1922318.2713534916)
183,증산,129.161619,37.474761,POINT (1146925.4470694212 1943022.6580583572)
184,하맹방(연봉),129.225353,37.394294,POINT (1152724.915821855 1934195.8495097198)
185,한재밑,129.205006,37.408625,POINT (1150894.9479915428 1935753.1726803007)
186,등대,128.595335,38.217174,POINT (1095884.5762627604 2024663.392882881)
187,속초,128.603736,38.190492,POINT (1096655.2906746774 2021711.4683547583)
188,외옹치,128.608843,38.183701,POINT (1097111.5460085606 2020963.2749253653)
189,38,128.731353,38.00617,POINT (1108102.4774455288 2001399.9026441623)
190,갯마을,128.777554,37.94902,POINT (1112245.7215909727 1995113.32131735)
191,광진,128.765218,37.96491,POINT (1111137.8879160993 1996861.649613073)
192,낙산,128.636915,38.114572,POINT (1099664.1761399661 2013322.5022374615)
193,남애1리,128.786972,37.937602,POINT (1113090.7208008135 1993857.7944687253)
194,남애3리,128.783858,37.946209,POINT (1112803.9114706735 1994809.033556087)
195,동산,128.759586,37.977391,POINT (1110624.4136769678 1998239.810880188)
196,동산포,128.757011,37.982042,POINT (1110391.2843197968 1998752.8208211728)
197,동호,128.683011,38.058628,POINT (1103784.2491807914 2007165.4914766566)
198,물치,128.608422,38.153353,POINT (1097114.9371227594 2017595.4129322642)
199,북분리,128.748856,37.988102,POINT (1109666.0588874228 1999415.5877713352)
200,설악,128.623365,38.130094,POINT (1098455.4706394195 2015030.3521022385)
201,오산,128.663565,38.091108,POINT (1102033.0744200323 2010747.900983036)
202,원포,128.791858,37.931442,POINT (1113529.5642639708 1993180.236126284)
203,인구,128.762752,37.969306,POINT (1110914.649004091 1997346.480951812)
204,잔교,128.743369,37.99292,POINT (1109177.0671807143 1999943.7336084414)
205,정암,128.615755,38.139034,POINT (1097776.5542278343 2016014.2833699316)
206,죽도,128.759865,37.974211,POINT (1110653.6930160972 1997887.2953899025)
207,중광정,128.709739,38.034767,POINT (1106163.607839147 2004548.088160772)
208,지경,128.800686,37.924174,POINT (1114316.6638919055 1992384.5869754925)
